ctuid,ai_own_s0,ai_own_s1,ai_own_s2,ai_own_change_s1,ai_own_change_s2
2021S05075350163.00,0.028617867633906485,0.03048099369567984,0.028617867633906485,0.001863126061773357,0.0
2021S05075350164.00,0.03296104989834641,0.03296104989834641,0.03296104989834641,0.0,0.0
2021S05075350165.00,0.02296163026626379,0.025597634052593153,0.02296163026626379,0.002636003786329364,0.0
2021S05075350166.00,0.019359145752348504,0.021583214687644875,0.019359145752348504,0.002224068935296371,0.0
2021S05075350167.01,0.02491437888128329,0.02491437888128329,0.02491437888128329,0.0,0.0
2021S05075350167.02,0.01620276329272647,0.016247986972422166,0.01620276329272647,4.5223679695696045e-05,0.0
2021S05075350168.00,0.023887502454419587,0.027325602358216034,0.023887502454419587,0.0034380999037964474,0.0
2021S05075350169.01,0.03456589502448314,0.035749440598400954,0.03456589502448314,0.0011835455739178172,0.0
2021S05075350169.02,0.041796515922461745,0.044094249866517915,0.041796515922461745,0.0022977339440561698,0.0
2021S05075350170.00,0.03456589502448314,0.041952006301166744,0.03456589502448314,0.007386111276683607,0.0
2021S05075350171.00,0.02695316814409102,0.02700746032599191,0.02695316814409102,5.429218190089111e-05,0.0
2021S05075350172.00,0.018270544512941078,0.020480828025282276,0.018270544512941078,0.0022102835123411976,0.0
2021S05075350173.00,0.02925756114572323,0.03069119098996306,0.02925756114572323,0.0014336298442398296,0.0
2021S05075350174.00,0.04897729690969077,0.0547355030356682,0.04897729690969077,0.005758206125977432,0.0
2021S05075350175.01,0.034869771024698376,0.034869771024698376,0.034869771024698376,0.0,0.0
2021S05075350175.02,0.029839537949706868,0.032633188827151806,0.029839537949706868,0.002793650877444938,0.0
2021S05075350176.00,0.03592384090044496,0.03592384090044496,0.03592384090044496,0.0,0.0
2021S05075350180.00,0.027288864493013,0.02924386696074899,0.027288864493013,0.0019550024677359897,0.0
2021S05075350181.01,0.04073837627885511,0.04073837627885511,0.04073837627885511,0.0,0.0
2021S05075350181.02,0.030368607771510174,0.04352255992500226,0.030368607771510174,0.013153952153492084,0.0
2021S05075350182.00,0.04333081840569135,0.05045000827215314,0.04333081840569135,0.007119189866461789,0.0
2021S05075350183.01,0.03271415064817152,0.0349208400265756,0.03271415064817152,0.0022066893784040767,0.0
2021S05075350183.02,0.04407151615621598,0.046990511291551046,0.04407151615621598,0.0029189951353350632,0.0
2021S05075350184.01,0.02759099120704278,0.02759099120704278,0.02759099120704278,0.0,0.0
2021S05075350184.02,0.02760782524682743,0.02760782524682743,0.02760782524682743,0.0,0.0
2021S05075350185.01,0.02218756775220201,0.02218756775220201,0.02218756775220201,0.0,0.0
2021S05075350185.02,0.025218994839291263,0.025218994839291263,0.025218994839291263,0.0,0.0
2021S05075350186.00,0.02180943376544768,0.02180943376544768,0.02180943376544768,0.0,0.0
2021S05075350187.00,0.03641763940079472,0.03854955564408637,0.03641763940079472,0.0021319162432916483,0.0
2021S05075350188.00,0.033331398773608724,0.039141940078078585,0.033331398773608724,0.0058105413044698614,0.0
2021S05075350189.00,0.02740581676941162,0.028620633606674415,0.02740581676941162,0.0012148168372627943,0.0
2021S05075350190.01,0.0590794634347033,0.0590794634347033,0.0590794634347033,0.0,0.0
2021S05075350190.02,0.02514473942570484,0.02514473942570484,0.02514473942570484,0.0,0.0
2021S05075350191.00,0.03259070102308409,0.03376031907303247,0.03259070102308409,0.001169618049948383,0.0
2021S05075350192.00,0.023043930016322094,0.025040942197556572,0.023043930016322094,0.001997012181234478,0.0
2021S05075350193.00,0.028640313020286016,0.028640313020286016,0.028640313020286016,0.0,0.0
2021S05075350194.01,0.043945382843626646,0.043945382843626646,0.043945382843626646,0.0,0.0
2021S05075350194.02,0.03500123890103322,0.03500123890103322,0.03500123890103322,0.0,0.0
2021S05075350194.03,0.02318756409390378,0.02318756409390378,0.02318756409390378,0.0,0.0
2021S05075350194.04,0.05497366117175051,0.05497366117175051,0.05497366117175051,0.0,0.0
2021S05075350195.01,0.03333139877360874,0.03333139877360874,0.03333139877360874,0.0,0.0
2021S05075350195.02,0.037299422437133585,0.037299422437133585,0.037299422437133585,0.0,0.0
2021S05075350196.01,0.025554072393100025,0.025554072393100025,0.026342599452620637,0.0,0.0007885270595206113
2021S05075350196.02,0.02740581676941162,0.027464098156004754,0.02740581676941162,5.828138659313281e-05,0.0
2021S05075350200.01,0.0359767478826253,0.04668250721607361,0.0359767478826253,0.010705759333448306,0.0
2021S05075350200.02,0.0167891490118918,0.0167891490118918,0.01911999505592166,0.0,0.0023308460440298606
2021S05075350201.00,0.032919900023317274,0.032919900023317274,0.032919900023317274,0.0,0.0
2021S05075350202.00,0.03456589502448312,0.03456589502448312,0.03800207416493535,0.0,0.0034361791404522238
2021S05075350203.00,0.033331398773608724,0.033331398773608724,0.033331398773608724,0.0,0.0
