ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value
2021S05075350461.01,5350461.01,5350461.01,7215.0,2140.0,2105.0,162000.0,133000.0,0.07673860911270983,1925.0,160.0,1700000.0,26400.0,2620.0,2200.0,1700000.0
2021S05075350461.02,5350461.02,5350461.02,7956.0,3001.0,2840.0,126000.0,105000.0,0.12762237762237763,2500.0,365.0,1200000.0,17640.0,1800.0,1470.0,1200000.0
2021S05075350470.00,5350470.00,5350470.00,2951.0,1190.0,1130.0,103000.0,88000.0,0.09649122807017543,1030.0,110.0,695000.0,12840.0,1620.0,1070.0,695000.0
2021S05075350471.00,5350471.00,5350471.00,3283.0,1359.0,1225.0,93000.0,82000.0,0.14814814814814814,1040.0,180.0,850000.0,14400.0,1400.0,1200.0,850000.0
2021S05075350472.00,5350472.00,5350472.00,8349.0,3068.0,2950.0,105000.0,90000.0,0.17796610169491525,2425.0,525.0,785000.0,22080.0,1920.0,1840.0,785000.0
2021S05075350473.01,5350473.01,5350473.01,6539.0,2301.0,2225.0,116000.0,100000.0,0.20179372197309417,1780.0,450.0,800000.0,11400.0,1900.0,950.0,800000.0
2021S05075350473.02,5350473.02,5350473.02,6898.0,2591.0,2505.0,94000.0,82000.0,0.23952095808383234,1910.0,600.0,750000.0,18120.0,1800.0,1510.0,750000.0
2021S05075350473.03,5350473.03,5350473.03,3616.0,1497.0,1415.0,93000.0,81000.0,0.2756183745583039,1020.0,390.0,700000.0,16920.0,1470.0,1410.0,700000.0
2021S05075350474.00,5350474.00,5350474.00,5912.0,2713.0,2360.0,100000.0,87000.0,0.13983050847457626,2035.0,330.0,770000.0,19440.0,1510.0,1620.0,770000.0
2021S05075350475.00,5350475.00,5350475.00,7728.0,3278.0,3035.0,86000.0,76000.0,0.21087314662273476,2400.0,640.0,700000.0,14280.0,1620.0,1190.0,700000.0
2021S05075350476.02,5350476.02,5350476.02,2366.0,1371.0,1045.0,87000.0,76000.0,0.11057692307692307,925.0,115.0,624000.0,17400.0,1380.0,1450.0,624000.0
2021S05075350480.01,5350480.01,5350480.01,4016.0,1757.0,1640.0,78500.0,70000.0,0.42729970326409494,965.0,720.0,700000.0,16800.0,1300.0,1400.0,700000.0
2021S05075350480.03,5350480.03,5350480.03,3271.0,950.0,895.0,116000.0,100000.0,0.125,775.0,110.0,950000.0,27120.0,2620.0,2260.0,950000.0
2021S05075350480.04,5350480.04,5350480.04,1548.0,610.0,595.0,84000.0,76500.0,0.4152542372881356,340.0,245.0,755000.0,11280.0,2280.0,940.0,755000.0
2021S05075350480.05,5350480.05,5350480.05,6227.0,1767.0,1740.0,131000.0,111000.0,0.09090909090909091,1600.0,160.0,980000.0,24480.0,2480.0,2040.0,980000.0
2021S05075350480.06,5350480.06,5350480.06,2570.0,752.0,745.0,130000.0,110000.0,0.033783783783783786,715.0,25.0,850000.0,19632.0,1720.0,,850000.0
2021S05075350481.02,5350481.02,5350481.02,4171.0,1606.0,1545.0,96000.0,84000.0,0.1939799331103679,1205.0,290.0,750000.0,15720.0,1540.0,1310.0,750000.0
2021S05075350481.04,5350481.04,5350481.04,6521.0,1858.0,1795.0,128000.0,110000.0,0.09116022099447514,1640.0,165.0,950000.0,24000.0,2440.0,2000.0,950000.0
2021S05075350481.05,5350481.05,5350481.05,3677.0,1188.0,1175.0,125000.0,107000.0,0.07758620689655173,1070.0,90.0,800000.0,21600.0,1920.0,1800.0,800000.0
2021S05075350482.00,5350482.00,5350482.00,10879.0,3419.0,3290.0,123000.0,106000.0,0.12006079027355623,2895.0,395.0,1000000.0,23280.0,2260.0,1940.0,1000000.0
2021S05075350483.01,5350483.01,5350483.01,5384.0,2047.0,1990.0,106000.0,91000.0,0.17042606516290726,1655.0,340.0,700000.0,17160.0,1740.0,1430.0,700000.0
2021S05075350483.02,5350483.02,5350483.02,6930.0,2308.0,2265.0,117000.0,99000.0,0.09933774834437085,2040.0,225.0,900000.0,26640.0,2040.0,2220.0,900000.0
2021S05075350484.02,5350484.02,5350484.02,6769.0,2393.0,2350.0,116000.0,99000.0,0.09148936170212765,2140.0,215.0,800000.0,15240.0,1780.0,1270.0,800000.0
2021S05075350484.03,5350484.03,5350484.03,6364.0,2726.0,2680.0,96000.0,84000.0,0.05970149253731343,2515.0,160.0,700000.0,25200.0,1330.0,2100.0,700000.0
