ctuid,near_subway_500m,near_rapid_500m,n_subway_stops_800m,n_rapid_stops_800m,n_all_stops_800m,dist_nearest_subway_m,dist_nearest_rapid_m,n_subway_stops_800m_norm,n_rapid_stops_800m_norm,n_all_stops_800m_norm,transit_indicator
2021S05075350161.00,0,0,0,2,39,1670.1970595831654,734.4700253307464,0.0,0.034482758620689655,0.43333333333333335,0.034482758620689655
2021S05075350162.00,0,0,0,2,49,1194.903892538706,720.6352966579439,0.0,0.034482758620689655,0.5444444444444444,0.034482758620689655
2021S05075350163.00,0,1,0,10,44,1853.63126813975,475.2115036206076,0.0,0.1724137931034483,0.4888888888888889,0.1724137931034483
2021S05075350164.00,0,0,0,7,31,1517.5686937503444,618.487361301124,0.0,0.1206896551724138,0.34444444444444444,0.1206896551724138
2021S05075350165.00,0,1,0,12,38,857.5161046070801,414.8694249552459,0.0,0.20689655172413793,0.4222222222222222,0.20689655172413793
2021S05075350166.00,0,0,1,5,30,745.7759831854454,637.7694425772165,0.06666666666666667,0.08620689655172414,0.3333333333333333,0.08620689655172414
2021S05075350168.00,0,1,2,8,45,619.2425440785007,394.35121194621814,0.13333333333333333,0.13793103448275862,0.5,0.13793103448275862
2021S05075350170.00,0,0,0,3,41,1808.0747210137688,764.1619786530854,0.0,0.05172413793103448,0.45555555555555555,0.05172413793103448
2021S05075350171.00,0,1,0,4,45,2780.9483764262573,471.1841379885357,0.0,0.06896551724137931,0.5,0.06896551724137931
2021S05075350172.00,0,0,0,4,58,3908.4514457136506,506.8611051042396,0.0,0.06896551724137931,0.6444444444444445,0.06896551724137931
2021S05075350173.00,0,0,0,0,51,4325.90737902476,822.2461524116517,0.0,0.0,0.5666666666666667,0.0
2021S05075350174.00,0,0,0,0,45,4457.26483531734,1642.0956795541917,0.0,0.0,0.5,0.0
2021S05075350176.00,0,0,0,0,50,5638.351828503869,2891.232154691398,0.0,0.0,0.5555555555555556,0.0
2021S05075350180.00,0,0,4,7,73,517.7485118575673,517.7485118575673,0.26666666666666666,0.1206896551724138,0.8111111111111111,0.1206896551724138
2021S05075350182.00,0,0,1,1,54,788.8951358502653,788.8951358502653,0.06666666666666667,0.017241379310344827,0.6,0.017241379310344827
2021S05075350186.00,0,0,0,0,8,1935.850188175623,1877.261012435105,0.0,0.0,0.08888888888888889,0.0
2021S05075350187.00,0,0,0,0,37,1667.1745719761059,1667.1745719761059,0.0,0.0,0.4111111111111111,0.0
2021S05075350188.00,0,0,0,0,57,1500.6118754880727,1500.6118754880727,0.0,0.0,0.6333333333333333,0.0
2021S05075350189.00,0,0,0,0,44,1414.4251140773974,1414.4251140773974,0.0,0.0,0.4888888888888889,0.0
