ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value,population_2016,occupied_dwellings_2016,median_household_income_2016,renter_share_2016,home_price_2016,annual_rent_2016,units_2021,units_2016,delta_units,income_growth,rent_growth,home_price_growth,renter_share_change,dev_occurred
2021S05075350040.00,5350040.00,5350040.00,4274.0,1930.0,1740.0,90000.0,79000.0,0.3861671469740634,1065.0,670.0,1390000.0,18840.0,1580.0,1570.0,1390000.0,4568.0,1788.0,69193.0,0.41025641025641024,897646.0,15636.0,1930.0,1788.0,142.0,0.30070960935354735,0.204911742133538,0.5484946181456832,-0.02408926328234684,1
2021S05075350041.00,5350041.00,5350041.00,3324.0,1632.0,1480.0,97000.0,84000.0,0.40540540540540543,885.0,600.0,1290000.0,22800.0,1580.0,1900.0,1290000.0,3453.0,1453.0,77120.0,0.4429530201342282,848977.0,16356.0,1632.0,1453.0,179.0,0.25778008298755184,0.39398385913426265,0.5194757926304246,-0.03754761472882279,1
2021S05075350042.00,5350042.00,5350042.00,4423.0,2179.0,1960.0,86000.0,75000.0,0.5038167938931297,970.0,990.0,1500000.0,18600.0,1020.0,1550.0,1500000.0,4570.0,1965.0,69274.0,0.5524296675191815,946841.0,15288.0,2179.0,1965.0,214.0,0.24144700753529463,0.21664050235478807,0.5842153011962938,-0.04861287362605182,1
2021S05075350043.00,5350043.00,5350043.00,3670.0,1874.0,1665.0,96000.0,83000.0,0.46987951807228917,885.0,780.0,1400000.0,21600.0,1740.0,1800.0,1400000.0,3965.0,1704.0,76800.0,0.49127906976744184,897943.0,17436.0,1874.0,1704.0,170.0,0.25,0.23881624225739848,0.559119008667588,-0.021399551695152674,1
2021S05075350045.00,5350045.00,5350045.00,3247.0,1601.0,1455.0,85000.0,73500.0,0.6317567567567568,545.0,935.0,1200000.0,18000.0,1680.0,1500.0,1200000.0,3453.0,1468.0,63808.0,0.5886287625418061,800489.0,13224.0,1601.0,1468.0,133.0,0.3321213640922768,0.36116152450090744,0.4990836850974842,0.04312799421495073,1
2021S05075350046.00,5350046.00,5350046.00,3151.0,1474.0,1320.0,83000.0,74500.0,0.4344569288389513,755.0,580.0,1100000.0,16200.0,1880.0,1350.0,1100000.0,3281.0,1330.0,60343.0,0.4626865671641791,752507.0,13956.0,1474.0,1330.0,144.0,0.3754702285269211,0.16079105760963028,0.4617804219761411,-0.02822963832522779,1
2021S05075350047.02,5350047.02,5350047.02,3511.0,2046.0,1775.0,54400.0,49600.0,0.7563739376770539,430.0,1335.0,1010000.0,12600.0,1960.0,1050.0,1010000.0,3791.0,1947.0,34283.0,0.7932816537467701,753003.0,11292.0,2046.0,1947.0,99.0,0.586792287722778,0.11583421891604676,0.34129611701414203,-0.03690771606971621,1
2021S05075350047.03,5350047.03,5350047.03,1014.0,575.0,550.0,115000.0,94000.0,0.415929203539823,325.0,235.0,940000.0,26400.0,2380.0,2200.0,940000.0,703.0,361.0,88320.0,0.3918918918918919,599628.0,16332.0,575.0,361.0,214.0,0.3020833333333333,0.6164584864070536,0.5676386026002789,0.024037311647931103,1
2021S05075350047.04,5350047.04,5350047.04,2773.0,1198.0,1125.0,114000.0,96000.0,0.3744493392070485,710.0,425.0,1500000.0,19440.0,1410.0,1620.0,1500000.0,2846.0,1180.0,78677.0,0.42677824267782427,898774.0,14472.0,1198.0,1180.0,18.0,0.448962212590719,0.34328358208955223,0.6689401340047665,-0.05232890347077579,1
2021S05075350048.00,5350048.00,5350048.00,3353.0,1630.0,1470.0,93000.0,79500.0,0.5257731958762887,690.0,765.0,1500000.0,18000.0,2220.0,1500.0,1500000.0,3557.0,1560.0,69120.0,0.5714285714285714,947385.0,14784.0,1630.0,1560.0,70.0,0.3454861111111111,0.21753246753246752,0.5833056254848874,-0.04565537555228272,1
2021S05075350049.00,5350049.00,5350049.00,3351.0,1477.0,1365.0,106000.0,90000.0,0.5129151291512916,655.0,695.0,1600000.0,17760.0,2280.0,1480.0,1600000.0,3663.0,1426.0,81493.0,0.5611510791366906,947898.0,14484.0,1477.0,1426.0,51.0,0.30072521566269494,0.22618061309030654,0.6879453274508439,-0.04823594998539904,1
2021S05075350050.01,5350050.01,5350050.01,8648.0,4533.0,4235.0,103000.0,86000.0,0.26595744680851063,3105.0,1125.0,755000.0,23040.0,1740.0,1920.0,755000.0,8746.0,4336.0,86435.0,0.3052995391705069,500421.0,18720.0,4533.0,4336.0,197.0,0.1916469022965234,0.23076923076923078,0.5087296496350073,-0.03934209236199626,1
2021S05075350050.03,5350050.03,5350050.03,1085.0,607.0,570.0,106000.0,89000.0,0.20512820512820512,465.0,120.0,800000.0,21360.0,2300.0,1780.0,800000.0,1109.0,590.0,93952.0,0.21621621621621623,449188.0,18732.0,607.0,590.0,17.0,0.1282356948228883,0.14029468289557975,0.780991477955778,-0.011088011088011107,1
2021S05075350050.04,5350050.04,5350050.04,4907.0,2300.0,2145.0,90000.0,77500.0,0.5128205128205128,1040.0,1100.0,1500000.0,14520.0,1480.0,1210.0,1500000.0,5008.0,2212.0,72832.0,0.5294117647058824,947095.0,12492.0,2300.0,2212.0,88.0,0.23572056239015818,0.16234390009606148,0.5837904328499253,-0.016591251885369585,1
2021S05075350051.00,5350051.00,5350051.00,4979.0,2376.0,2135.0,102000.0,88000.0,0.5433255269320844,975.0,1160.0,2000000.0,18000.0,2380.0,1500.0,2000000.0,5399.0,2313.0,82645.0,0.5672268907563025,1247485.0,13680.0,2376.0,2313.0,63.0,0.23419444612499243,0.3157894736842105,0.6032256900884579,-0.023901363824218147,1
2021S05075350052.00,5350052.00,5350052.00,4074.0,2022.0,1860.0,104000.0,87000.0,0.46648793565683644,1000.0,870.0,1200000.0,19920.0,2000.0,1660.0,1200000.0,4077.0,1839.0,79616.0,0.4368131868131868,802767.0,14592.0,2022.0,1839.0,183.0,0.3062700964630225,0.3651315789473684,0.4948297575759841,0.029674748843649623,1
2021S05075350053.00,5350053.00,5350053.00,5823.0,2892.0,2640.0,84000.0,73500.0,0.4680451127819549,1415.0,1245.0,1000000.0,17520.0,1820.0,1460.0,1000000.0,5982.0,2712.0,63520.0,0.46938775510204084,683672.0,13764.0,2892.0,2712.0,180.0,0.3224181360201511,0.2728857890148213,0.462689710855498,-0.0013426423200859627,1
2021S05075350054.00,5350054.00,5350054.00,5453.0,2948.0,2625.0,72500.0,64000.0,0.7049808429118773,775.0,1840.0,1400000.0,18000.0,1700.0,1500.0,1400000.0,5803.0,2724.0,55360.0,0.7176684881602914,848183.0,14928.0,2948.0,2724.0,224.0,0.30960982658959535,0.2057877813504823,0.6505871963951175,-0.012687645248414037,1
2021S05075350055.00,5350055.00,5350055.00,2691.0,1442.0,1300.0,87000.0,75000.0,0.6106870229007634,510.0,800.0,1500000.0,20640.0,1380.0,1720.0,1500000.0,2763.0,1320.0,68198.0,0.6130268199233716,946506.0,15636.0,1442.0,1320.0,122.0,0.27569723452300654,0.3200306983883346,0.5847760077590634,-0.0023397970226082254,1
2021S05075350056.00,5350056.00,5350056.00,4436.0,2200.0,1960.0,94000.0,81000.0,0.5166240409207161,945.0,1010.0,1500000.0,21600.0,1440.0,1800.0,1500000.0,4772.0,2018.0,73728.0,0.533498759305211,899438.0,16884.0,2200.0,2018.0,182.0,0.2749565972222222,0.279317697228145,0.6677080576982516,-0.016874718384494836,1
2021S05075350057.00,5350057.00,5350057.00,2287.0,1249.0,1085.0,84000.0,74000.0,0.6233183856502242,420.0,695.0,1600000.0,20400.0,1560.0,1700.0,1600000.0,2311.0,1108.0,69504.0,0.625,899899.0,16032.0,1249.0,1108.0,141.0,0.2085635359116022,0.27245508982035926,0.7779773063421562,-0.0016816143497757619,1
2021S05075350058.00,5350058.00,5350058.00,3757.0,2048.0,1835.0,85000.0,73500.0,0.6166666666666667,690.0,1110.0,1600000.0,21120.0,1960.0,1760.0,1600000.0,3980.0,1888.0,69837.0,0.6036269430051814,1001675.0,16884.0,2048.0,1888.0,160.0,0.21711986482809972,0.2508884150675195,0.5973244814934984,0.013039723661485314,1
2021S05075350059.00,5350059.00,5350059.00,3843.0,1639.0,1400.0,96000.0,84000.0,0.534965034965035,655.0,765.0,1500000.0,23520.0,1080.0,1960.0,1500000.0,3837.0,1447.0,68978.0,0.532871972318339,999823.0,17448.0,1639.0,1447.0,192.0,0.3917480935950593,0.34800550206327374,0.5002655470018194,0.0020930626466959534,1
2021S05075350060.00,5350060.00,5350060.00,2550.0,1665.0,1360.0,80000.0,69500.0,0.5601503759398496,590.0,745.0,1000000.0,20880.0,1340.0,1740.0,1000000.0,2685.0,1471.0,58560.0,0.6040955631399317,897228.0,17484.0,1665.0,1471.0,194.0,0.366120218579235,0.19423472889498972,0.11454390634264647,-0.043945187200082114,1
2021S05075350061.00,5350061.00,5350061.00,1202.0,533.0,480.0,44400.0,41600.0,0.9587628865979382,15.0,465.0,1300000.0,13440.0,,1120.0,,1085.0,475.0,28880.0,0.9690721649484536,0.0,12216.0,533.0,475.0,58.0,0.5373961218836565,0.10019646365422397,1300000.0,-0.010309278350515427,1
2021S05075350062.01,5350062.01,5350062.01,4843.0,3148.0,2615.0,64000.0,56400.0,0.7863894139886578,565.0,2080.0,800000.0,23280.0,2000.0,1940.0,800000.0,5595.0,3302.0,48026.0,0.8191330343796711,499938.0,18024.0,3148.0,3302.0,-154.0,0.33261150210302753,0.29161118508655126,0.600198424604651,-0.032743620391013306,0
2021S05075350063.03,5350063.03,5350063.03,4869.0,3604.0,3185.0,70000.0,61200.0,0.6959876543209876,990.0,2255.0,755000.0,19920.0,2080.0,1660.0,755000.0,5104.0,3405.0,57520.0,0.7336309523809523,485267.0,16452.0,3604.0,3405.0,199.0,0.21696801112656466,0.21079504011670314,0.5558445144631718,-0.03764329805996469,1
2021S05075350063.04,5350063.04,5350063.04,4778.0,3507.0,3110.0,53600.0,48400.0,0.7947122861586314,665.0,2555.0,720000.0,19200.0,2080.0,1600.0,720000.0,3370.0,2264.0,44715.0,0.8159090909090909,400687.0,13248.0,3507.0,2264.0,1243.0,0.1987028961198703,0.4492753623188406,0.7969138005475596,-0.021196804750459486,1
2021S05075350063.05,5350063.05,5350063.05,6551.0,5240.0,4250.0,60400.0,53600.0,0.6960667461263409,1270.0,2920.0,750000.0,22320.0,2020.0,1860.0,750000.0,4331.0,2943.0,51072.0,0.754180602006689,450085.0,18144.0,5240.0,2943.0,2297.0,0.18264411027568922,0.23015873015873015,0.6663519113056423,-0.05811385588034812,1
